Company Name	Sector	Price EOD(LC)	Target Price(LC)	Latest Rating	Mkt cap	P/E (x) FY-2	P/E (x) FY-1	P/E (x) FY0	P/E (x) FY1	P/E (x) FY2	P/B FY-2	P/B FY-1	P/B FY0	P/B FY1	P/B FY2	ROAE (%) FY-2	ROAE (%) FY-1	ROAE (%) FY0	ROAE (%) FY1	ROAE (%) FY2	Dividend yld (%) FY-2	Dividend yld (%) FY-1	Dividend yld (%) FY0	Dividend yld (%) FY1	Dividend yld (%) FY2	Revenue growth FY-2	Revenue growth FY-1	Revenue growth FY0	Revenue growth FY1	Revenue growth FY2	EBIT growth FY-2	EBIT growth FY-1	EBIT growth FY0	EBIT growth FY1	EBIT growth FY2	Core net profit growth FY-2	Core net profit growth FY-1	Core net profit growth FY0	Core net profit growth FY1	Core net profit growth FY2
Greentown China	Real Estate	7.6	7.3	Sell	2098.169988	16.7580123	5.946584029	7.329260208	4.598346465	5.324778586	0.5812676	0.49317035	0.685330439	0.501432892	0.470592489	na	7.874482031	8.558297632	11.34249572	9.11361137	0	2.131798878	2.386571236	3.262036139	2.817023051	na	11.24331503	44.78646743	24.36205254	4.293258415	na	13.10081652	72.7404322	6.155742542	7.628375386	na	101.9361326	36.79758667	9.710243524	-13.6424749
Gamuda	Construction	3.42	3.6	Hold	2037.347574	17.3028011	17.83653853	20.33051058	9.98094282	10.50068623	1.792696584	1.688391572	1.733785426	1.043161573	0.981873806	11.55041894	9.475830037	8.418119269	10.81712333	9.633577091	2.489626556	2.489626556	2.264150943	3.50877193	3.50877193	-48.23746873	-11.5845208	51.34570496	29.44579799	3.935417617	-28.56772642	-20.14822101	59.76238932	5.75749406	13.17336656	-4.221005336	-8.210215528	11.89204211	18.82119419	-4.949603706
YTL Power	Utilities	1.02	1.050379	Hold	2008.538306	10.87317453	16.82881523	15.29091693	12.30086468	11.13306192	0.85376476	0.83317708	0.620810284	0.602821916	0.588350318	8.759978119	5.233694789	4.728548872	4.94875804	5.348904374	7.234043711	3.517241942	4.854368932	4.901960784	4.901960784	-13.64140929	-4.513879327	8.298324473	-1.610615582	1.27137629	-14.9019877	-10.07734649	21.05374887	-0.026070813	6.116837709	-2.561314661	-22.4178327	-8.069103348	4.579577172	10.48992468
Vinda International	Consumer Staples	13.18	15.6	Hold	2007.019851	48.05093711	23.6379319	28.73112698	19.47281562	16.12506591	3.100787087	2.338526744	2.118239365	1.703806106	1.602229214	6.270784537	11.14550172	8.004062251	8.993612866	10.24155738	0.651210938	1.219393103	1.226039541	1.951441578	2.480614568	21.42426708	24.3456255	11.85589552	14.82305531	10.00952825	-8.474201035	33.87397016	-2.386576572	24.99546824	17.23650683	-13.31598933	30.92549143	-7.806295859	30.1634839	20.7611264
Guangzhou R&#38;F Properties	Real Estate	14.42	11	Sell	1866.519946	3.321847089	4.32803675	1.868943978	4.402150315	3.798042837	0.633340364	0.618867251	0.768664303	0.644837456	0.580313473	17.53080067	15.99225127	40.23615878	14.82851106	16.08391571	14.99693294	11.8938317	7.494267111	8.708086814	10.15335844	27.61964618	21.31230091	10.32456914	26.16594519	22.34449561	19.11378044	3.131320646	38.59411641	5.817026483	21.73805825	34.99927841	4.950984975	26.99999999	16.64515096	16.59689427
Genting Plantations	Plantations	9.47	10.4	Buy	1840.101231	41.59003667	25.07462744	26.04687841	23.65471608	19.6523587	1.966249148	2.003214417	1.945361286	1.679774942	1.597830595	4.675334787	7.958414331	7.83934591	7.255804634	8.333747257	0.518867925	1.944444444	2.476190476	1.690992608	2.035374868	-16.31261793	7.647610735	21.90829075	-2.890291581	9.16430768	-48.78803433	53.76791177	19.58661958	0.701446877	20.65597546	-45.88465536	29.3847506	25.9525831	-4.07897785	20.36569564
Jiangxi Boya Bio-Pharma	Health Care	28.4	28	Sell	1792.71742	8.570923565	39.4160005	36.98656073	33.77727455	30.86829022	1.175439495	3.701415213	4.798307045	3.456164276	3.238598622	12.62406812	11.10769276	13.7109954	12.51506262	10.83262878	3.75626357	2.311840283	0.266193339	0	0	78.48842342	24.07295898	74.26846447	15.84443809	55.25503197	60.57109378	31.68156721	94.16146174	9.180160228	10.93195525	26.4268773	45.70856554	79.21215949	23.96125626	9.423920504
Beijing Tong Ren Tang CM	Health Care	15.7	18.9	Buy	1675.587555	24.98234638	19.05106283	18.40534896	22.37608353	19.36989844	4.548964213	4.13316359	3.566139805	4.55321901	3.933684592	20.56134816	20.32396295	20.26577249	20.87033308	20.82313279	1.317530364	1.526717557	1.789077213	1.474789809	1.703675159	27.51799814	11.7265015	16.75895525	18.48834378	14.71213319	31.71760514	16.58080557	13.30523849	20.72041597	14.71213305	23.37840097	18.64959393	16.57138099	19.87425725	15.51988088
Inari Amertron	Technology	2.18	2.58	Buy	1664.429737	20.40505803	16.48816851	26.38306311	21.49498615	16.32274102	4.361886802	5.036592876	7.129022693	6.457059076	5.97681107	24.28313453	29.2077297	25.72843969	30.98515536	38.03083221	2.828282828	3.933649289	3.008849558	3.95440367	5.207477064	11.79092465	12.80312907	16.94354926	14.08779122	21.67392283	-0.519195992	54.68868097	21.13390337	25.03899904	31.4188064	5.468728839	32.53826596	36.65374871	20.45497645	31.68782308
BIMB Holdings	Banks	3.89	4.3	Hold	1590.148998	11.32851262	11.2835783	11.54656118	10.63794876	10.44054259	1.730299992	1.726625299	1.64356892	1.364134485	1.271128425	na	na	na	na	na	3.18537859	3.08056872	3.181818182	4.164524422	4.215938303	na	na	na	na	na	na	na	na	na	na	2.807662179	2.149741903	4.435818546	6.074277282	1.890680339
Alliance Bank	Financials	4.2	5	Buy	1569.409124	11.43579343	11.74651895	12.54907595	11.725064	10.80608228	1.309386185	1.219047983	1.240058252	1.134435158	1.072546811	na	na	na	na	na	3.493975904	3.921568628	3.501144165	3.833333333	4.166666667	na	na	na	na	na	na	na	na	na	na	-1.647010061	-1.899287025	4.591279829	3.538720698	8.504624984
IJM Corporation 	Construction	1.77	2.1	Hold	1553.26365	15.26800917	18.75208786	33.30780127	13.36534976	12.53594345	1.396495548	1.293583294	1.024865219	0.656793977	0.635866537	9.091385559	7.058036829	3.684879101	4.988111985	5.154455848	2.83286119	2.205882353	2.23880597	3.95480226	3.95480226	-5.874952875	18.2741969	-0.632891671	17.83774697	5.943700452	-27.71708338	0.703596521	-16.89219664	-24.2152201	-4.705008326	-3.95559713	-0.813333805	-25.02870605	26.8967013	6.616394382
Huaneng Renewables Corp	Energy	2.34	3.8	Buy	1500.995066	12.11550292	7.559130303	7.549970996	5.266760342	4.587001796	1.062478899	1.0911925	0.919898349	0.768006302	0.670349306	10.97108882	14.01800946	13.46365343	15.56989674	15.60631471	1.543326612	1.81513087	1.947892425	2.779108789	3.190982331	19.60321394	25.5774424	14.24214081	15.18892625	9.765030891	23.02718023	19.23635866	15.13680146	20.24584384	9.983729587	65.87867932	42.98436271	13.27157511	36.42491437	14.81900191
Bursa Malaysia	Financials	7.59	7.25	Hold	1479.289718	22.26040323	24.02840134	23.70564929	26.15942429	25.57561993	5.55038183	5.453388822	6.392199664	7.632827797	7.531084327	25.59198531	23.15500571	25.95105787	28.32564298	29.64390229	0	0	0	0	0	2.92760781	-2.260541867	9.875824564	4.303543259	2.978167672	2.582067199	-2.936407725	13.24069626	4.699301608	2.282480495	0.195231705	-2.513430642	15.19411634	4.882424677	2.282480433
China Foods	Consumer Staples	3.76	4.95	Buy	1340.92525	60.82403346	17.33331841	5.910220014	22.73002055	17.67648276	1.741656346	1.685172835	2.873588515	2.225381422	2.069087719	0.720051591	6.96770617	24.88602288	6.396609988	7.593320411	0	0.729544073	23.06345733	1.759787234	2.262898936	6.111217231	-59.44815365	36.94079827	24.5214309	10.09371227	71.24249345	2.691440734	17.50473692	35.41086443	24.94910028	nm	181.26196	-39.56797102	53.21754901	28.58892726
TIME dotCom	Telecommunications	8.13	8.546357	Hold	1145.244823	7.719038729	10.7105989	29.6673856	19.33918504	18.00780117	2.100581364	2.06638336	2.335025928	2.32681672	2.121249361	21.03184203	19.09852208	7.883356781	11.37539588	12.32400681	10.55263158	3.923076923	1.89010989	1.292718327	1.388290283	14.436266	12.39455774	12.22468511	11.11091477	11.5288369	28.44175492	16.67340565	-8.041606815	46.95037167	7.625034563	34.37740411	44.03720104	-28.87654121	39.3900463	7.393326792
KPJ Healthcare	Health Care	1.1	1.08	Hold	1138.907555	32.6168764	31.13159751	27.11172164	28.85775749	27.65069629	3.024328646	2.855140551	2.459787545	2.604271479	2.487145977	9.798316242	9.806147912	9.967479288	9.232767891	9.201912138	1.658767773	1.148325359	1.835051546	1.732636364	1.808272727	6.795026857	7.189300847	5.259816477	8.916727023	7.741801506	21.48063373	-4.657523542	18.43731359	8.574871107	2.867591088	15.61465778	-13.26584939	29.07582051	0.792948726	4.367224835
Malakoff Corporation	Utilities	0.88	1.127831	Buy	1062.032344	18.40062863	22.27167687	18.01104408	18.27356355	14.00070004	1.378466628	1.157933705	0.732049657	0.657350712	0.657350712	9.280736473	6.066303493	4.917202244	3.597305462	4.695107853	4.375	5.109489051	6.326530612	5.472386364	7.1425	-5.2283106	15.02140613	16.92274392	-5.834554249	-0.397378334	-1.764748707	9.971440752	-8.394019606	-10.68105258	3.221782637	32.69955409	-21.57185913	-12.80358293	-22.34289226	30.51735258
Gas Malaysia	Utilities	2.89	3.002193	Hold	895.6698045	30.6413237	18.9955481	18.96152696	21.42518237	20.16016519	3.17453179	3.10879916	3.53290368	3.53290368	3.53290368	10.70330348	16.58918031	18.80101714	16.4894564	17.52423827	3.445833333	5.206477733	4.498269896	4.667404844	4.960276817	30.48561689	11.99236578	31.97290678	12.96582452	10.05054419	-33.73144292	49.44195044	17.40602165	-6.050183265	1.903296705	-36.66960962	55.55095043	17.86527468	-11.01642485	6.275415339
Yashili International Holdings	Consumer Staples	1.46	1.6	Hold	883.3451393	73.71141285	nm	nm	140.2003722	28.57750973	1.247101872	1.111606917	1.0799179	1.09827718	1.069505369	2.507836193	-5.482126055	-3.213050549	0.785534774	3.792115319	0.475670854	0	0	0.213963808	1.049784391	-22.28597463	-20.21516014	2.332893844	40.97174988	25	nm	nm	nm	nm	nm	-64.44380301	nm	nm	nm	390.5815878
ViTrox Corp	Technology	7.77	6.8	Buy	882.2503983	16.99412707	13.19942924	21.08414817	35.75635975	25.13961058	3.878468636	3.3424116	8.887196998	9.015699152	7.104740517	23.09991405	27.54943203	28.04218753	27.84731248	31.61125151	0	0	0	0	0	-5.679013632	46.00372344	39.93680232	29.1371064	23.44856912	11.13948329	9.591185647	39.89011439	26.59778921	39.31158536	2.099512162	19.7649407	33.86814032	25.26662036	42.2309471
Cahya Mata Sarawak	Construction	3.19	4.1	Buy	827.2440743	21.41428285	25.92732441	20.09272837	12.11081203	11.06797262	2.734938115	1.942079423	1.782164645	1.359534707	1.266213688	12.96843533	8.002605442	9.430383144	11.61701138	11.8469484	0.877192983	1.575	2.051282051	3.302821317	3.614043887	6.817022304	-13.23758059	3.571476917	34.80018335	6.790817438	4.723526031	4.920222134	-6.819141496	1.644245728	6.142104045	10.56769151	-13.19521912	23.91483432	7.540846237	9.422360725
Goodbaby International	Consumer Discretionary	3.17	4.3	Buy	674.1420675	17.37280467	20.16772808	25.6822239	15.90160069	10.54220874	1.316347779	1.691731809	1.026695519	0.989067219	0.928114461	8.338003472	8.488694021	4.692551533	6.28493014	8.973569869	1.780319149	1.353234501	1.17027972	1.583753943	1.583753943	13.66243857	-10.25663306	14.4976122	53.17828096	17.55009357	119.3205989	-32.73045012	46.25487975	92.68879266	36.3775986	73.98898436	5.042697813	-13.52042046	99.1461327	40.2797554
V.S. Industry	Technology	1.51	1.95	Buy	620.0840695	6.662816446	17.81968328	16.69677684	19.47507577	13.36176765	2.126565831	2.37393527	3.306934228	2.637536157	2.400605398	20.37118035	14.23445792	16.1365796	14.01779526	18.8110737	3.779527559	3.560606061	2.681818182	2.567417219	3.741986755	12.93250119	12.32602865	50.82325731	19.81875192	21.43096215	203.8783362	-12.37616174	58.09197994	-4.090383449	43.42910295	151.2214532	-0.244870898	29.66104853	-12.50100148	45.75135634
Boustead Plantations	Plantations	1.13	1.22	Hold	610.9582428	28.39477691	10.59284068	3.966133373	35.29926278	27.30194013	1.09277201	1.215165614	1.03644718	1.004576602	1.007169622	3.512120412	10.43161959	28.11144121	2.830467311	3.684288387	8.724783659	8.734935187	11.81822039	3.919115044	3.919115044	-14.23714069	15.06514195	7.377291188	-5.128578721	5.082660851	-45.29438747	106.4706384	28.10691006	-43.81780136	22.63185837	-49.60483126	157.6595947	65.32752485	-46.7750877	29.29243389
Lingkaran Trans Kota	Construction	4.74	5.1	Hold	604.0382332	14.08710079	13.60799714	13.43012044	10.33337112	8.380525356	4.370528243	4.416180239	3.693665915	2.709838084	2.2956452	na	na	na	na	na	4.901960784	4.15282392	4.393673111	5.274261603	5.274261603	9.32464483	28.34936995	-1.935103466	4.218124555	1.000000132	9.698691912	26.96569104	0.918112768	2.40691165	0.196872219	26.25880237	26.96025779	3.402191518	5.830270746	23.30228136
Bermaz Auto Berhad	Automotive	1.98	2.6	Buy	555.384504	13.45361166	21.61985985	17.36310236	13.60684466	10.08989176	4.834091773	5.646527386	5.411070758	4.506421651	4.136893569	39.33518171	24.1414159	30.40712731	34.25311776	42.7533219	0	0	0	0	0	14.47452884	-20.77865181	20.05250612	-2.426224416	16.26711483	-7.817037413	-38.68548119	11.38850612	10.07650269	37.6149531	-9.212756749	-39.79451477	18.49719565	17.70240488	34.85676207
Sunway Construction Group	Construction	1.76	2.3	Hold	549.2406469	12.62884462	16.54886269	19.34359711	13.8287591	11.5769671	4.013048139	4.458010783	5.857683951	3.442717869	2.885051988	32.4175502	26.16725613	26.3347508	27.08707315	27.11687842	2.857142857	2.941176471	2.788844622	2.530965909	3.023238636	1.922255833	-6.678373318	16.06881316	22.14515082	22.25637323	24.40257772	9.507073257	10.32121478	24.73531845	21.00839611	11.35298908	-2.866377277	11.58598839	19.32539136	19.45014444
Allianz Malaysia	Financials	12.9	15.5	Buy	527.1750181	6.327732293	5.563832906	7.773019178	7.086097735	6.477100187	1.386768197	1.226349342	3.319677573	2.858158247	2.567544329	na	na	na	na	na	0.619047619	0.882352941	0.888888889	0.930232558	0.930232558	na	na	na	na	na	na	na	na	na	na	4.382517244	1.055456809	-7.743223198	10.1090887	9.402334358
Nissin Foods	Consumer Staples	3.34	5.3	Buy	457.4780136	na	na	17.7832374	16.82653555	14.01241819	na	na	1.024590164	1.005909568	0.964371943	3.40914944	3.158239776	6.449698096	6.087287391	7.027357335	na	na	2.225609756	2.377185629	2.854610778	3.654557758	0.047248354	10.35649577	11.93472298	8.815855257	10.45116791	9.499585187	-7.855123273	13.91253242	25.88702228	18.2395538	-1.711955445	-10.93864217	20.70894924	20.08297183
Globetronics Technology	Technology	2.48	2.4	Hold	400.3317403	23.02127148	44.96939739	31.52663974	24.55469856	18.59140148	6.12240249	3.744519352	6.72245867	5.498111133	5.050073104	24.4121245	9.123704392	18.75261232	23.16949141	28.31733124	3.076923077	4.597701149	2.575757576	2.850766129	3.765201613	-3.207771431	-37.33657302	41.42728446	21.98592452	18.27864592	6.471890734	-59.63630712	74.29405725	29.41476333	31.50041205	10.71412442	-63.93274813	94.3625831	35.08816011	32.07583468
Sarawak Oil Palms	Plantations	2.79	3.1	Hold	384.4381608	22.45442402	12.74148698	9.081870688	12.57232466	8.948330607	1.301886105	0.866287368	1.061234597	0.724205626	0.685377387	6.485399749	8.064513177	12.04572333	5.896161914	7.870262319	1.207338056	1.358695652	1.538461539	1.590788531	3.352580645	28.67484214	20.30450146	11.22258398	-2.313442446	0.913359351	-17.22205809	43.03849657	79.18554177	-38.56528528	30.13292052	-21.55589847	49.45507168	80.98353959	-47.05459911	40.49939901
TSH Resources 	Plantations	1.15	1.14	Hold	383.5553946	nm	63.33945667	18.71670472	18.10424899	15.43147753	1.943721334	1.660579364	1.63648103	1.105199628	1.044041293	-8.106224418	2.882251549	8.842565347	6.241275049	6.960523887	1.020408163	1.075268817	1.212121212	1.253304348	1.557565217	-25.35047547	9.102097482	23.06569728	1.981919354	1.759607817	-41.33299531	-8.538596538	96.7505231	-31.09019887	15.41486893	-43.18448795	-8.290201588	45.67902519	-17.80182731	24.27840407
China Datang Renewable	Energy	1.1	1.8	Buy	350.7588449	468.7594283	25.38453084	7.49176273	5.576014459	4.140979523	0.549123325	0.520115238	0.598527074	0.631976027	0.542097079	0.126462928	2.015707546	7.946332406	12.25487201	14.09318683	0	1.885591121	2.323442578	3.407444438	4.588270812	7.757580082	3.540651705	22.77798651	21.425563	14.13729912	-1.845431297	1.455706587	35.60976532	34.85688242	15.74788845	nm	1345.547371	267.145142	72.58013146	34.65427062
Mega First Corp. Bhd	Construction	3.33	4.2	Buy	330.4601014	7.202376731	5.661500393	9.494356216	10.65238671	13.81771406	0.681576551	0.703282037	1.173246277	0.974921106	0.916651091	na	na	na	na	na	3.495414273	2.325581395	1.089918256	0.600600601	0.600600601	-12.45849226	55.50853936	-0.501935099	-15.695461	-13.72880755	-3.078443922	34.5507326	-2.960727718	2.461728284	-20.64572894	-36.37521165	158.5978583	8.445984885	-8.86448662	-22.90768158
Ta Ann	Materials	2.73	2.7	Hold	293.124113	8.054970435	13.38311554	13.75163451	13.14364122	10.2022131	1.57165064	1.378606058	1.180279275	0.83733059	0.793278116	15.9205788	10.21451298	9.005051662	6.53026186	7.985607994	3.984063745	2.53164557	2.732240437	3.043296703	3.920732601	3.623734661	9.492512435	2.008515572	-4.373986941	4.875412911	45.26160275	-18.55024785	12.35821803	-23.27262837	24.00723589	65.97811807	-25.44715403	-4.838780308	-22.6792751	28.83087118
Tan Chong Motor	Consumer Discretionary	1.66	1.8	Hold	269.2541636	24.79221078	nm	nm	19.83913568	11.9700892	0.604667331	0.404427435	0.329225563	0.381920702	0.371769691	2.697423747	-1.938198343	-3.125599189	1.939299389	3.147644375	2.574015444	1.498146067	1.891276596	1.606445783	1.606445783	19.44619971	-4.47634228	-20.50135174	2.856527185	13.4104899	-19.38756529	-88.93839345	nm	nm	40.86610246	11.52538912	nm	nm	nm	65.73820764
MPHB Capital	Diversified Financials	1.23	1.34	Hold	212.2737147	6.194229228	19.56363002	18.30370371	23.37469831	20.6854798	1.105972795	0.713829069	0.543591706	0.522938951	0.510044772	na	na	na	na	na	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	12.16812784	-23.80820399	-0.240087305	-8.537592377	13.00139571
Hock Seng Lee	Construction	1.37	1.45	Hold	192.6796042	13.03847776	17.55682413	18.69745933	12.62207481	10.10510787	1.578690188	1.254046259	1.069922023	0.96370287	0.893307173	12.15427401	8.308811464	6.494158754	7.870525835	9.175240768	1.26984127	1.5	1.678321678	1.751824818	1.751824818	8.270756266	-23.85541653	1.476493644	18.62456934	27.43072334	-0.97917737	-26.83758075	-15.54195926	28.89755178	25.40672127	-0.94765167	-25.90619176	-17.4359701	27.95456301	24.90715527
TH Plantations	Plantations	0.68	0.74	Hold	145.068308	20.61433243	6.925780812	27.1800213	17.34118787	12.47843799	0.807656022	0.686432597	0.737897992	0.428770501	0.418699618	5.012003059	10.95169214	2.629440774	2.494134779	3.395257885	0	5.454545455	3.130434783	1.73	2.404117647	-6.874991052	23.5020997	22.56868987	-15.87485679	2.423437452	-68.32816108	265.4824928	68.96306367	-26.24420999	15.91389665	-61.37090444	247.2432595	0.199223738	-25.03215808	38.96945798
RCE Capital Bhd	Banks	1.58	1.95	Buy	136.5557808	6.223879532	4.833434661	6.155448999	5.867171689	5.686848982	0.61918411	1.53511136	0.843243154	0.974153488	0.86869079	7.738108217	17.58540278	18.46301505	16.79587138	15.51449838	54.87944614	1.685393258	5.691056911	4.430379747	4.430379747	na	na	na	na	na	na	na	na	na	na	9.297269838	86.15071047	20.39021357	3.85257496	3.170736379
Eversendai Corp	Construction	0.685	1.05	Hold	129.1463915	10.83307363	nm	8.187081887	7.66553642	7.441607822	0.527331997	0.498685638	0.760230372	0.561545833	0.525166194	5.472023396	-27.67675274	9.603456562	7.580501264	7.293392299	0.653594771	0	0	1.069781022	1.10189781	78.37933246	-11.53709406	15.67205585	1.571928299	4.34595525	65.06192533	nm	nm	-10.36517205	3.552212566	98.76995661	nm	nm	-0.932398484	3.008584806
Kimlun Bhd	Construction	1.25	1.4	Hold	100.1357712	5.484615686	6.961278879	9.999118491	6.365696535	5.357632698	0.902196063	1.180452613	1.117746542	0.586996111	0.543524579	na	na	na	na	na	4.202898551	3.125	2.477477478	4.24152	5.03952	-12.66239445	-10.72121408	4.732017473	21.46789188	6.137722737	39.50776612	21.29315224	-14.61655107	-18.34313202	17.61930768	90.50490718	25.28862268	-0.736924239	-25.01585357	18.81522998
MMS Ventures	Technology	1.37	1.88	Buy	53.90055515	13.84978304	9.517513485	10.14652375	15.94320959	9.83354747	2.756364906	2.08362543	4.82119998	3.236200087	2.63026533	24.1682235	24.77671506	42.34177186	21.85064673	29.51064004	3.333333333	3.738317757	2.298850575	1.881678832	3.05080292	-21.16543497	13.72027689	112.3697478	-37.09423339	64.52973918	-24.8870966	18.76597949	124.6223456	-37.17263284	63.16359566	-18.55419018	11.35895303	124.924441	-35.58190326	62.1309184
PECCA Group	Automotive	0.805	0.97	Hold	36.5290852	21.31459406	21.36277865	24.42539418	11.28937256	10.38669471	1.915252472	1.849093313	1.001521853	0.904510643	0.877396628	12.72615059	9.203544238	6.321481715	8.109097036	8.575819447	0	0	0	0	0	-2.503551136	-3.267797899	-7.774667256	6.59667075	4.196910788	-22.04034865	-11.19626266	-41.14552548	43.66369388	10.31818869	-8.044181636	-10.45862655	-30.77913279	28.19047666	8.690599326
